Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold
Amplification Peak 19	19q13.11	chr19:33096269-33245350(probes 267002:267022)	chr19:33119151-33177150(probes 267006:267012)	chr19:24330251-34292109(probes 266191:267150)	2.6169e-4	0.14077	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 20	19q13.2	chr19:39371851-39456800(probes 267747:267756)	chr19:39381051-39449050(probes 267748:267755)	chr19:36669451-40734549(probes 267425:267910)	0.0066183	0.22291	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 21	20q13.13	chr20:50412840-50887283(probes 274866:274919)	chr20:50782951-50878950(probes 274908:274918)	chr20:50199951-50922664(probes 274840:274925)	0.025442	0.025442	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Deletion Peak  1	1p36.11	chr1:1641377-33261942(probes 92:3347)	chr1:26774252-26979861(probes 2623:2648)	chr1:26511251-28768250(probes 2593:2843)	0.065008	0.065008	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  2	2q22.1	chr2:138897344-142885114(probes 37520:37985)	chr2:140220525-142141749(probes 37663:37907)	chr2:141175251-141194183(probes 37786:37787)	0.018042	0.017584	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  3	3p21.31	chr3:1-93874612(probes 48443:58145)	chr3:47956918-48099704(probes 53533:53550)	chr3:47606251-48998375(probes 53494:53648)	0.091257	0.091257	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  4	4q25	chr4:86906730-157085253(probes 78331:85685)	chr4:101228352-119512699(probes 79873:81775)	chr4:95014351-136574720(probes 79214:83563)	0.0025242	0.044761	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  5	4q35.1	chr4:177988124-190214555(probes 87847:89134)	chr4:182228496-183667050(probes 88322:88470)	chr4:165123151-190214555(probes 86531:89134)	6.0928e-4	0.019426	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  6	5q11.2	chr5:58857052-60495285(probes 94980:95164)	chr5:58955623-59775050(probes 94990:95085)	chr5:51262051-114007815(probes 94159:100585)	3.009e-8	0.0010578	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  7	5q13.3	chr5:61540807-88542358(probes 95280:97929)	chr5:75498152-75616650(probes 96540:96552)	chr5:51262051-114007815(probes 94159:100585)	1.5428e-8	0.0013144	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  8	6q24.3	chr6:100876152-162736957(probes 118378:124982)	chr6:147496451-147585549(probes 123340:123348)	chr6:138046551-170805979(probes 122336:125813)	0.0057748	0.12975	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak  9	6q27	chr6:161270151-170805979(probes 124820:125813)	chr6:165264997-166527268(probes 125259:125391)	chr6:138046551-170805979(probes 122336:125813)	1.6702e-4	0.0035994	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 10	7p22.1	chr7:2702966-18035749(probes 126099:127710)	chr7:5888001-6065250(probes 126443:126453)	chr7:2789251-17866150(probes 126110:127691)	0.0072796	0.0072816	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 11	8p21.2	chr8:1-30161731(probes 142173:145270)	chr8:26382051-26423993(probes 144861:144868)	chr8:1-39016049(probes 142173:146311)	5.8462e-13	5.8462e-13	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 12	9p24.3	chr9:1-476954(probes 157654:157702)	chr9:1-234714(probes 157654:157675)	chr9:1-1772149(probes 157654:157839)	0.0097639	0.14879	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 13	9p21.3	chr9:20620740-25678258(probes 159856:160392)	chr9:21952788-22021938(probes 159994:159999)	chr9:4494151-27738864(probes 158147:160615)	0.0014855	0.020056	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 14	10q24.32	chr10:86362684-109866249(probes 178301:180727)	chr10:102374362-102520678(probes 179951:179965)	chr10:102394251-102415393(probes 179953:179954)	0.17231	0.17269	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 15	11p15.4	chr11:7458351-13675992(probes 184018:184663)	chr11:9270338-10895099(probes 184210:184377)	chr11:1-21226494(probes 183248:185476)	3.2685e-5	3.2685e-5	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 16	11q23.3	chr11:105139130-121024750(probes 194244:195944)	chr11:113890552-115764350(probes 195165:195363)	chr11:107941351-117860658(probes 194543:195598)	0.050438	0.050438	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 17	12q24.33	chr12:121408374-133275309(probes 210178:211421)	chr12:128782551-129230665(probes 210952:210996)	chr12:122555251-133275309(probes 210299:211421)	0.038238	0.037497	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 18	13q12.11	chr13:1-26052278(probes 211422:212210)	chr13:21360519-21469850(probes 211721:211732)	chr13:1-25964207(probes 211422:212201)	0.014793	0.17269	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 19	13q14.3	chr13:33056641-68864663(probes 212949:216722)	chr13:51206602-52050932(probes 214860:214948)	chr13:46647851-54536590(probes 214371:215201)	0.018652	0.22826	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 20	14q32.33	chr14:106633951-107043718(probes 230707:230735)	chr14:106834452-106863849(probes 230731:230732)	chr14:106418451-107043718(probes 230682:230735)	4.6381e-6	4.6381e-6	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 21	15q21.1	chr15:34351380-47189310(probes 231876:233218)	chr15:44694237-44778213(probes 232954:232965)	chr15:44711951-44787845(probes 232956:232966)	0.17261	0.17269	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 22	16q24.3	chr16:89224819-89517749(probes 246967:247003)	chr16:89253418-89507949(probes 246970:247002)	chr16:51378751-90338345(probes 242985:247068)	1.3004e-8	1.3004e-8	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 23	17q11.2	chr17:30995751-31398950(probes 249936:249992)	chr17:31075952-31388950(probes 249945:249991)	chr17:31235285-31249950(probes 249969:249970)	0.027219	0.026707	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 24	18q23	chr18:64089301-80373285(probes 261726:263399)	chr18:80048918-80197565(probes 263378:263392)	chr18:40187051-80373285(probes 259226:263399)	2.5438e-11	2.4875e-11	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 25	19p13.3	chr19:1-1275283(probes 263400:263508)	chr19:1-526950(probes 263400:263427)	chr19:1-8926250(probes 263400:264366)	6.2467e-13	9.2719e-5	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 26	19p13.3	chr19:3171237-4313350(probes 263709:263832)	chr19:3733309-3998700(probes 263770:263796)	chr19:1-8926250(probes 263400:264366)	5.8462e-13	1.4836e-5	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 27	19q13.43	chr19:57697152-58617616(probes 269708:269801)	chr19:58218485-58617616(probes 269766:269801)	chr19:45454451-58617616(probes 268388:269801)	8.5155e-4	8.4527e-4	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 28	22q13.33	chr22:50240852-50489910(probes 284126:284152)	chr22:50250251-50345450(probes 284127:284136)	chr22:43886751-50818468(probes 283439:284180)	7.0746e-9	7.0746e-9	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 29	Xp22.33	chrX:1-18991435(probes 284181:286071)	chrX:1-3050407(probes 284181:284406)	chrX:1-45960450(probes 284181:288923)	8.367e-4	0.065008	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Deletion Peak 30	Xp21.1	chrX:31066352-34134810(probes 287334:287688)	chrX:31104352-33224216(probes 287338:287580)	chrX:1-45960450(probes 284181:288923)	2.0477e-4	0.0066957	NA	0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3
Amplification Peak  1 - CN values	1p34.3	chr1:38827251-38855750(probes 3962:3966)	chr1:38836251-38850250(probes 3963:3965)	chr1:38451251-38955250(probes 3917:3980)	0.014455	0.014455	NA	Actual Copy Change Given
Amplification Peak  2 - CN values	1q21.2	chr1:150322701-150618150(probes 13102:13136)	chr1:150426951-150602950(probes 13115:13133)	chr1:145430951-152710859(probes 12777:13363)	0.0047128	0.0047128	NA	Actual Copy Change Given
Amplification Peak  3 - CN values	2p23.3	chr2:26030276-63381363(probes 26235:30218)	chr2:27532151-27632150(probes 26404:26414)	chr2:27532151-27660900(probes 26404:26417)	0.19839	0.19839	NA	Actual Copy Change Given
Amplification Peak  4 - CN values	3q26.2	chr3:169646552-169782479(probes 66439:66453)	chr3:169652551-169772550(probes 66440:66452)	chr3:142830451-198295559(probes 63529:69531)	2.7257e-18	3.2931e-16	NA	Actual Copy Change Given
Amplification Peak  5 - CN values	3q29	chr3:193084701-198295559(probes 69009:69531)	chr3:196114051-196138050(probes 69316:69319)	chr3:142830451-198295559(probes 63529:69531)	2.5014e-8	0.011152	NA	Actual Copy Change Given
Amplification Peak  6 - CN values	6p23	chr6:13103218-20152506(probes 109083:109851)	chr6:13411551-14175550(probes 109120:109200)	chr6:1-24180675(probes 107699:110300)	1.374e-4	1.374e-4	NA	Actual Copy Change Given
Amplification Peak  7 - CN values	7q36.3	chr7:130757246-159345973(probes 139124:142172)	chr7:156894851-157120850(probes 141911:141934)	chr7:156785851-159345973(probes 141897:142172)	0.067217	0.067217	NA	Actual Copy Change Given
Amplification Peak  8 - CN values	8p11.21	chr8:41485051-42115550(probes 146598:146674)	chr8:42010051-42074050(probes 146661:146668)	chr8:40742051-42410050(probes 146512:146709)	0.0070372	0.018871	NA	Actual Copy Change Given
Amplification Peak  9 - CN values	8q12.1	chr8:56098751-56324150(probes 148019:148042)	chr8:56108751-56315750(probes 148020:148041)	chr8:51595751-57786449(probes 147510:148208)	0.0038241	0.13663	NA	Actual Copy Change Given
Amplification Peak 10 - CN values	8q24.21	chr8:124335551-130517138(probes 155382:156056)	chr8:128070551-128087550(probes 155791:155793)	chr8:90104451-145138636(probes 151683:157653)	1.3542e-15	3.0975e-10	NA	Actual Copy Change Given
Amplification Peak 11 - CN values	8q24.3	chr8:138532187-145138636(probes 156938:157653)	chr8:144428351-144533350(probes 157577:157589)	chr8:90104451-145138636(probes 151683:157653)	4.6294e-11	0.005037	NA	Actual Copy Change Given
Amplification Peak 12 - CN values	11q14.1	chr11:75578576-79110532(probes 190977:191377)	chr11:77116451-77671450(probes 191148:191205)	chr11:69126151-82967350(probes 190255:191806)	4.6313e-5	5.7904e-4	NA	Actual Copy Change Given
Amplification Peak 13 - CN values	11q22.2	chr11:102402152-102504900(probes 193941:193952)	chr11:102411151-102495150(probes 193942:193951)	chr11:95946151-102987050(probes 193227:194012)	9.5793e-4	0.012491	NA	Actual Copy Change Given
Amplification Peak 14 - CN values	12p13.31	chr12:4962486-5407472(probes 197974:198021)	chr12:5348251-5398250(probes 198015:198020)	chr12:4639251-6085150(probes 197940:198100)	0.043843	0.043843	NA	Actual Copy Change Given
Amplification Peak 15 - CN values	14q11.2	chr14:1-22503050(probes 221470:221705)	chr14:20591051-20677050(probes 221541:221550)	chr14:20374051-21222049(probes 221515:221611)	0.14386	0.14386	NA	Actual Copy Change Given
Amplification Peak 16 - CN values	17q25.3	chr17:75174169-83257441(probes 254568:255425)	chr17:81358051-81521050(probes 255223:255240)	chr17:76732051-83257441(probes 254733:255425)	0.038424	0.038424	NA	Actual Copy Change Given
Amplification Peak 17 - CN values	19p13.13	chr19:13333651-13461500(probes 264894:264911)	chr19:13376251-13453250(probes 264900:264910)	chr19:10830251-17899249(probes 264593:265448)	3.2986e-6	1.6325e-5	NA	Actual Copy Change Given
Amplification Peak 18 - CN values	19q12	chr19:29756484-29899150(probes 266539:266557)	chr19:29766151-29893150(probes 266540:266556)	chr19:24330251-34292109(probes 266191:267150)	1.5139e-13	1.159e-11	NA	Actual Copy Change Given
Amplification Peak 19 - CN values	19q13.11	chr19:33096269-33245350(probes 267002:267022)	chr19:33119151-33177150(probes 267006:267012)	chr19:24330251-34292109(probes 266191:267150)	2.6169e-4	0.14077	NA	Actual Copy Change Given
Amplification Peak 20 - CN values	19q13.2	chr19:39371851-39456800(probes 267747:267756)	chr19:39381051-39449050(probes 267748:267755)	chr19:36669451-40734549(probes 267425:267910)	0.0066183	0.22291	NA	Actual Copy Change Given
Amplification Peak 21 - CN values	20q13.13	chr20:50412840-50887283(probes 274866:274919)	chr20:50782951-50878950(probes 274908:274918)	chr20:50199951-50922664(probes 274840:274925)	0.025442	0.025442	NA	Actual Copy Change Given
Deletion Peak  1 - CN values	1p36.11	chr1:1641377-33261942(probes 92:3347)	chr1:26774252-26979861(probes 2623:2648)	chr1:26511251-28768250(probes 2593:2843)	0.065008	0.065008	NA	Actual Copy Change Given
Deletion Peak  2 - CN values	2q22.1	chr2:138897344-142885114(probes 37520:37985)	chr2:140220525-142141749(probes 37663:37907)	chr2:141175251-141194183(probes 37786:37787)	0.018042	0.017584	NA	Actual Copy Change Given
Deletion Peak  3 - CN values	3p21.31	chr3:1-93874612(probes 48443:58145)	chr3:47956918-48099704(probes 53533:53550)	chr3:47606251-48998375(probes 53494:53648)	0.091257	0.091257	NA	Actual Copy Change Given
Deletion Peak  4 - CN values	4q25	chr4:86906730-157085253(probes 78331:85685)	chr4:101228352-119512699(probes 79873:81775)	chr4:95014351-136574720(probes 79214:83563)	0.0025242	0.044761	NA	Actual Copy Change Given
Deletion Peak  5 - CN values	4q35.1	chr4:177988124-190214555(probes 87847:89134)	chr4:182228496-183667050(probes 88322:88470)	chr4:165123151-190214555(probes 86531:89134)	6.0928e-4	0.019426	NA	Actual Copy Change Given
Deletion Peak  6 - CN values	5q11.2	chr5:58857052-60495285(probes 94980:95164)	chr5:58955623-59775050(probes 94990:95085)	chr5:51262051-114007815(probes 94159:100585)	3.009e-8	0.0010578	NA	Actual Copy Change Given
Deletion Peak  7 - CN values	5q13.3	chr5:61540807-88542358(probes 95280:97929)	chr5:75498152-75616650(probes 96540:96552)	chr5:51262051-114007815(probes 94159:100585)	1.5428e-8	0.0013144	NA	Actual Copy Change Given
Deletion Peak  8 - CN values	6q24.3	chr6:100876152-162736957(probes 118378:124982)	chr6:147496451-147585549(probes 123340:123348)	chr6:138046551-170805979(probes 122336:125813)	0.0057748	0.12975	NA	Actual Copy Change Given
Deletion Peak  9 - CN values	6q27	chr6:161270151-170805979(probes 124820:125813)	chr6:165264997-166527268(probes 125259:125391)	chr6:138046551-170805979(probes 122336:125813)	1.6702e-4	0.0035994	NA	Actual Copy Change Given
Deletion Peak 10 - CN values	7p22.1	chr7:2702966-18035749(probes 126099:127710)	chr7:5888001-6065250(probes 126443:126453)	chr7:2789251-17866150(probes 126110:127691)	0.0072796	0.0072816	NA	Actual Copy Change Given
Deletion Peak 11 - CN values	8p21.2	chr8:1-30161731(probes 142173:145270)	chr8:26382051-26423993(probes 144861:144868)	chr8:1-39016049(probes 142173:146311)	5.8462e-13	5.8462e-13	NA	Actual Copy Change Given
Deletion Peak 12 - CN values	9p24.3	chr9:1-476954(probes 157654:157702)	chr9:1-234714(probes 157654:157675)	chr9:1-1772149(probes 157654:157839)	0.0097639	0.14879	NA	Actual Copy Change Given
Deletion Peak 13 - CN values	9p21.3	chr9:20620740-25678258(probes 159856:160392)	chr9:21952788-22021938(probes 159994:159999)	chr9:4494151-27738864(probes 158147:160615)	0.0014855	0.020056	NA	Actual Copy Change Given
Deletion Peak 14 - CN values	10q24.32	chr10:86362684-109866249(probes 178301:180727)	chr10:102374362-102520678(probes 179951:179965)	chr10:102394251-102415393(probes 179953:179954)	0.17231	0.17269	NA	Actual Copy Change Given
Deletion Peak 15 - CN values	11p15.4	chr11:7458351-13675992(probes 184018:184663)	chr11:9270338-10895099(probes 184210:184377)	chr11:1-21226494(probes 183248:185476)	3.2685e-5	3.2685e-5	NA	Actual Copy Change Given
Deletion Peak 16 - CN values	11q23.3	chr11:105139130-121024750(probes 194244:195944)	chr11:113890552-115764350(probes 195165:195363)	chr11:107941351-117860658(probes 194543:195598)	0.050438	0.050438	NA	Actual Copy Change Given
Deletion Peak 17 - CN values	12q24.33	chr12:121408374-133275309(probes 210178:211421)	chr12:128782551-129230665(probes 210952:210996)	chr12:122555251-133275309(probes 210299:211421)	0.038238	0.037497	NA	Actual Copy Change Given
Deletion Peak 18 - CN values	13q12.11	chr13:1-26052278(probes 211422:212210)	chr13:21360519-21469850(probes 211721:211732)	chr13:1-25964207(probes 211422:212201)	0.014793	0.17269	NA	Actual Copy Change Given
Deletion Peak 19 - CN values	13q14.3	chr13:33056641-68864663(probes 212949:216722)	chr13:51206602-52050932(probes 214860:214948)	chr13:46647851-54536590(probes 214371:215201)	0.018652	0.22826	NA	Actual Copy Change Given
Deletion Peak 20 - CN values	14q32.33	chr14:106633951-107043718(probes 230707:230735)	chr14:106834452-106863849(probes 230731:230732)	chr14:106418451-107043718(probes 230682:230735)	4.6381e-6	4.6381e-6	NA	Actual Copy Change Given
Deletion Peak 21 - CN values	15q21.1	chr15:34351380-47189310(probes 231876:233218)	chr15:44694237-44778213(probes 232954:232965)	chr15:44711951-44787845(probes 232956:232966)	0.17261	0.17269	NA	Actual Copy Change Given
Deletion Peak 22 - CN values	16q24.3	chr16:89224819-89517749(probes 246967:247003)	chr16:89253418-89507949(probes 246970:247002)	chr16:51378751-90338345(probes 242985:247068)	1.3004e-8	1.3004e-8	NA	Actual Copy Change Given
Deletion Peak 23 - CN values	17q11.2	chr17:30995751-31398950(probes 249936:249992)	chr17:31075952-31388950(probes 249945:249991)	chr17:31235285-31249950(probes 249969:249970)	0.027219	0.026707	NA	Actual Copy Change Given
Deletion Peak 24 - CN values	18q23	chr18:64089301-80373285(probes 261726:263399)	chr18:80048918-80197565(probes 263378:263392)	chr18:40187051-80373285(probes 259226:263399)	2.5438e-11	2.4875e-11	NA	Actual Copy Change Given
Deletion Peak 25 - CN values	19p13.3	chr19:1-1275283(probes 263400:263508)	chr19:1-526950(probes 263400:263427)	chr19:1-8926250(probes 263400:264366)	6.2467e-13	9.2719e-5	NA	Actual Copy Change Given
Deletion Peak 26 - CN values	19p13.3	chr19:3171237-4313350(probes 263709:263832)	chr19:3733309-3998700(probes 263770:263796)	chr19:1-8926250(probes 263400:264366)	5.8462e-13	1.4836e-5	NA	Actual Copy Change Given
Deletion Peak 27 - CN values	19q13.43	chr19:57697152-58617616(probes 269708:269801)	chr19:58218485-58617616(probes 269766:269801)	chr19:45454451-58617616(probes 268388:269801)	8.5155e-4	8.4527e-4	NA	Actual Copy Change Given
Deletion Peak 28 - CN values	22q13.33	chr22:50240852-50489910(probes 284126:284152)	chr22:50250251-50345450(probes 284127:284136)	chr22:43886751-50818468(probes 283439:284180)	7.0746e-9	7.0746e-9	NA	Actual Copy Change Given
Deletion Peak 29 - CN values	Xp22.33	chrX:1-18991435(probes 284181:286071)	chrX:1-3050407(probes 284181:284406)	chrX:1-45960450(probes 284181:288923)	8.367e-4	0.065008	NA	Actual Copy Change Given
Deletion Peak 30 - CN values	Xp21.1	chrX:31066352-34134810(probes 287334:287688)	chrX:31104352-33224216(probes 287338:287580)	chrX:1-45960450(probes 284181:288923)	2.0477e-4	0.0066957	NA	Actual Copy Change Given
