symbol	chrom	start	length	strand	score	exons
SNORD115-29	chr15	25236084	82	+	7	0,82
SNORD115-29	chr15	25249197	82	+	7	0,82
SNORD115-30	chr15	25225202	82	+	7	0,82
SNORD115-31	chr15	25227108	82	+	7	0,82
SNORD115-32	chr15	25228966	82	+	7	0,82
SNORD115-33	chr15	25230837	82	+	7	0,82
SNORD115-34	chr15	25232386	82	+	7	0,82
SNORD115-35	chr15	25234246	82	+	7	0,82
SNORD115-36	chr15	25189413	82	+	7	0,82
SNORD115-36	chr15	25223245	82	+	7	0,82
SNORD115-36	chr15	25236084	82	+	7	0,82
SNORD115-36	chr15	25249197	82	+	7	0,82
SNORD115-37	chr15	25237985	82	+	7	0,82
SNORD115-38	chr15	25239837	82	+	7	0,82
SNORD115-39	chr15	25241745	82	+	7	0,82
SNORD115-40	chr15	25243613	82	+	7	0,82
SNORD115-41	chr15	25245477	82	+	7	0,82
SNORD115-42	chr15	25247344	82	+	7	0,82
SNORD115-43	chr15	25189413	82	+	7	0,82
SNORD115-43	chr15	25223245	82	+	7	0,82
SNORD115-43	chr15	25236084	82	+	7	0,82
SNORD115-43	chr15	25249197	82	+	7	0,82
SNORD115-44	chr15	25250858	82	+	7	0,82
MIR675	chr11	1996758	73	-	40	0,73
SNORD116-28	chr15	25104640	93	+	3	0,93
SNORD116-29	chr15	25106519	85	+	4	0,85
SNORD115-48	chr15	25269782	76	+	7	0,76
PDZK1P1	chr1	147993861	21095	-	2	0,493,1241,291,701,160,4571,197,2271,196,1390,137,3833,250,544,132,189,162,4226,111
SNORD115-24	chr15	25213658	71	+	2	0,71
SNORD115-27	chr15	25220502	76	+	2	0,76
SNORD115-28	chr15	25222353	74	+	2	0,74
SNORD115-45	chr15	25264526	53	+	2	0,53
SNORD115-47	chr15	25268516	33	+	2	0,33
DDTL	chr22	23966837	5722	+	10	0,185,363,176,3724,1274
TLX1NB	chr10	101089320	51946	-	4	0,1382,23997,541,11719,139,3658,390,9541,579
NAALADL1	chr11	65044822	13715	-	5	0,635,364,93,112,88,74,174,82,82,948,91,81,92,242,68,103,64,84,86,4832,120,153,86,673,105,100,284,2632,123,381,122,81,173,86,201
CDKN2B-AS1	chr9	21994790	126304	+	166	0,371,34271,162,3079,313,13330,133,301,150,2205,123,7023,136,1971,696,2898,74,1917,75,1643,96,477,119,11325,212,14417,162,3902,143,743,107,14955,76,1270,134,4844,124,1432,211,93,591
GUSBP9	chr5	70494967	5936	-	4	0,231,1838,85,3595,187
GUSBP9	chr5	70516251	39072	-	4	0,231,1838,85,3595,188,33029,106
GUSBP9	chr5	71220225	39070	-	4	0,231,1838,85,3587,188,33035,106
SIGLEC14	chr19	51642552	4327	-	9	0,845,139,136,106,258,1440,54,251,279,196,384,82,157
LOC100049716	chr12	630890	14988	+	3	0,95,1228,34,261,108,8227,181,2934,1920
ACOT8	chr20	45841720	15689	-	40	0,236,1570,195,541,158,4029,226,6483,134,1895,222
ABI1	chr10	26746595	114492	-	89	0,2150,2852,186,3871,87,3320,177,4641,81,549,130,578,101,3533,141,1252,101,729,15,5975,177,45896,168,16427,51,20963,341
GNPDA1	chr5	142000668	12387	-	30	0,1461,958,175,1669,185,1027,183,1472,102,4011,130,953,61
MIMT1	chr19	56840901	7655	+	3	0,685,6365,605
KCNE3	chr11	74454840	12715	-	46	0,2763,4351,149,5294,158
ZBTB33	chrX	120250751	7645	+	76	0,226,1691,102,643,4983
SNHG8	chr4	118278761	1062	+	6	0,376,251,43,192,200
GTF2IP4	chr7	73154923	52373	+	7	0,420,20071,111,1331,66,2164,184,1268,59,1479,72,966,184,1362,59,5346,72,1233,184,942,59,395,75,1600,102,908,66,177,184,1901,56,673,81,922,84,669,184,1479,29,1282,42,1098,42,778,76,693,1145
GS1-600G8.3	chrX	13310651	9282	+	1	0,91,113,67,107,59,613,12,119,26,202,71,103,413,114,110,155,55,187,72,1148,125,384,70,457,87,950,141,2085,49,171,486,125,315
CDH3	chr16	68644835	54232	+	115	0,589,211,115,30634,86,1663,144,223,156,105,145,892,176,993,129,1205,186,2095,242,380,146,2161,225,3983,207,3328,131,391,147,2169,975
TANK	chr2	161136954	99218	+	82	0,109,23364,59,19127,148,23725,109,1079,305,18935,77,639,116,6224,581,3790,831
TTTY21B	chrY	6443433	3644	+	2	0,202,3337,105
TTTY21B	chrY	9717652	3644	-	2	0,105,3337,202
TTTY1B	chrY	6390400	21164	+	2	0,275,3424,160,6863,109,2356,138,7581,258
TTTY1B	chrY	9753155	21164	-	2	0,258,7581,138,2356,109,6863,160,3424,275
TTTY2B	chrY	9736285	22191	+	2	0,205,5833,78,2476,87,7384,149,692,157,2830,79,120,198,1223,680
TTTY2B	chrY	6406243	22201	-	2	0,680,1223,198,120,79,2830,157,692,149,7393,87,2476,78,5834,205
TTTY8B	chrY	9691099	2600	+	2	0,136,477,205,1592,190
TTTY8B	chrY	6471030	2600	-	2	0,190,1592,205,477,136
TTTY7B	chrY	6449467	8439	+	2	0,37,941,162,2307,75,688,477,1917,114,1475,246
TTTY7B	chrY	9706823	8439	-	2	0,246,1475,114,1917,477,688,75,2307,162,941,37
TTTY23B	chrY	9910797	1165	+	2	0,57,113,146,540,309
TTTY23B	chrY	6242445	1165	-	2	0,309,540,146,113,57
LOC100101148	chr7	72969681	3462	+	2	0,189,86,118,1450,61,1051,507
LOC100101148	chr7	75391948	3465	-	2	0,507,1051,61,1450,118,89,189
POM121C	chr7	75416780	69508	-	19	0,2113,426,123,2066,1695,845,177,300,103,445,122,439,74,653,92,11061,172,1457,81,1729,162,316,216,33056,179,179,127,10675,425
PMS2P7	chr7	73006079	10296	+	4	0,95,3269,140,1885,87,166,113,1257,186,3051,47
PMS2P7	chr7	75320771	38267	-	4	0,47,3050,186,1309,113,166,87,1894,140,31180,95
ZSCAN30	chr18	35251057	39188	-	7	0,3324,9131,145,287,511,3020,204,22404,162
LOC100101478	chrX	103975923	2434	+	2	0,378,423,59,200,196,832,346
LOC100101478	chrX	104060503	2435	-	2	0,346,833,196,200,59,423,378
GAGE8	chrX	49331625	7327	+	8	0,64,1040,92,465,121,2839,126,2463,117
ANKRD26P3	chr13	19262799	82174	-	2	0,232,178,142,431,229,211,46,18931,58,848,86,4940,58,2957,925,1466,138,525,184,1251,214,12791,142,4931,34,2139,168,4318,167,7998,71,2017,258,1515,73,94,29,5862,73,5045,399
SRA1	chr5	140550066	8027	-	74	0,845,149,109,812,203,4962,947
SNORD119	chr20	2462951	96	-	2	0,96
SNORD121A	chr9	33952763	91	-	2	0,91
SNORD125	chr22	29333162	96	-	3	0,96
SNORD19B	chr3	52690737	93	+	3	0,93
SNORD105B	chr19	10109748	92	+	3	0,92
SNORD123	chr5	9548826	88	+	3	0,88
UCKL1-AS1	chr20	63953383	3602	+	3	0,3602
SNORD127	chr14	45110874	99	+	2	0,99
SNORD126	chr14	20326440	99	-	4	0,99
SNORD11B	chr2	202291316	112	+	2	0,112
SNORD12B	chr20	49280312	103	+	3	0,103
SNORD111B	chr16	70529498	101	+	4	0,101
LINC00583	chr9	13927970	17637	+	2	0,91,16313,77,940,216
TMEM170B	chr6	11538226	45298	+	2	0,148,27291,171,9594,8094
FAM138E	chr15	101954884	1471	+	2	0,361,239,205,102,564
SNORD58C	chr18	49489234	90	-	3	0,90
SCARNA27	chr6	8086407	126	-	2	0,126
SNORA84	chr9	92292460	133	-	2	0,133
SNORA36C	chr2	69520044	127	-	2	0,127
SNORA38B	chr17	67740669	132	+	2	0,132
SNORA70B	chr2	61417243	134	-	2	0,134
SNORA70C	chr9	117181065	136	-	4	0,136
SNORA11B	chr14	91126425	127	+	2	0,127
SNORA11C	chrX	47388649	127	+	2	0,127
SNORA11D	chrX	52190621	127	+	2	0,127
SNORA11D	chrX	52063346	127	-	2	0,127
HOTAIR	chr12	53962307	12649	-	249	0,1817,106,53,1680,124,188,102,891,126,1222,298,5983,59
ZGLP1	chr19	10304802	4755	-	7	0,406,181,94,362,107,2232,1373
FAM86JP	chr3	125916600	13424	+	3	0,217,2046,63,1898,81,4060,150,3379,1530
FMR1-AS1	chrX	147909430	2387	-	7	0,2387
MIR298	chr20	58818225	88	-	5	0,88
MIR300	chr14	101041362	82	+	15	0,82
VTRNA2-1	chr5	136080490	108	-	32	0,108
MIR509-2	chrX	147258759	91	-	8	0,91
MIR509-2	chrX	147260534	91	-	8	0,91
MIR450B	chrX	134540184	78	-	8	0,78
MIR890	chrX	145994274	77	-	2	0,77
MIR891B	chrX	146001052	79	-	3	0,79
MIR888	chrX	145994783	77	-	6	0,77
MIR892B	chrX	145997197	77	-	6	0,77
MIR541	chr14	101064494	84	+	7	0,84
MIR875	chr8	99536785	76	-	6	0,76
MIR876	chr9	28863625	81	-	10	0,81
MIR147B	chr15	45433049	80	+	8	0,80
MIR744	chr17	12081898	98	+	17	0,98
MIR877	chr6	30584331	86	+	9	0,86
MIR665	chr14	100875032	72	+	12	0,72
MIR873	chr9	28888878	77	-	14	0,77
MIR374B	chrX	74218546	72	-	16	0,72
MIR301B	chr22	21652980	78	+	15	0,78
MIR216B	chr2	56000713	82	-	20	0,82
MIR920	chr12	24212420	75	+	5	0,75
MIR922	chr3	197674495	81	-	5	0,81
MIR924	chr18	39622122	53	-	2	0,53
MIR934	chrX	136550877	83	+	3	0,83
MIR935	chr19	53982306	91	+	8	0,91
MIR936	chr10	104048088	98	-	2	0,98
MIR938	chr10	29602263	83	-	5	0,83
MIR940	chr16	2271746	94	+	19	0,94
MIR941-1	chr20	63919448	72	+	8	0,72
MIR941-1	chr20	63919672	99	+	8	0,24,27,48
MIR941-4	chr20	63919560	72	+	6	0,72
MIR941-4	chr20	63919755	72	+	6	0,72
MIR941-4	chr20	63919867	72	+	6	0,72
MIR942	chr1	117094642	86	+	11	0,86
MIR943	chr4	1986383	94	-	2	0,94
MIR708	chr11	79402021	88	-	25	0,88
MIR885	chr3	10394488	74	-	20	0,74
MIR543	chr14	101031986	78	+	18	0,78
MIR208B	chr14	23417986	77	-	21	0,77
MIR509-3	chrX	147258764	76	-	18	0,76
MIR509-3	chrX	147259651	75	-	18	0,75
MIR509-3	chrX	147260539	76	-	18	0,76
MIR937	chr8	143812956	86	-	6	0,86
MIR941-2	chr20	63919560	72	+	7	0,72
MIR941-2	chr20	63919755	72	+	7	0,72
MIR941-2	chr20	63919867	72	+	7	0,72
MIR944	chr3	189829921	88	+	11	0,88
MIR891A	chrX	146027793	79	-	3	0,79
MIR892A	chrX	145996668	75	-	4	0,75
MIR874	chr5	137647571	78	-	25	0,78
MIR889	chr14	101047900	79	+	6	0,79
MIR190B	chr1	154193664	79	-	6	0,79
MIR887	chr5	15935181	79	+	7	0,79
MIR760	chr1	93846831	80	+	14	0,80
MIR921	chr1	166154742	56	-	3	0,56
MIR933	chr2	175167632	77	-	3	0,77
MIR939	chr8	144394148	82	-	14	0,82
MIR941-3	chr20	63919560	72	+	7	0,72
MIR941-3	chr20	63919755	72	+	7	0,72
MIR941-3	chr20	63919867	72	+	7	0,72
MIR297	chr4	110860581	66	-	7	0,66
MIR365A	chr16	14309284	87	+	35	0,87
MIR365B	chr17	31575410	111	+	17	0,111
GJE1	chr6	142133158	1764	+	3	0,39,652,195,494,384
LINC00322	chr21	43322208	9831	-	4	0,641,3309,82,5615,184
SNAR-G1	chr19	49037019	128	+	1	0,128
SNAR-F	chr19	50604962	123	+	1	0,123
LOC100126784	chr11	19710933	3739	-	2	0,3739
EGOT	chr3	4749193	2397	-	7	0,817,935,645
GHRLOS	chr3	10280951	12498	+	2	0,51,1136,157,1225,83,2144,106,1434,194,463,162,3961,1382
SNAR-A1	chr19	47918428	122	+	1	0,122
SNAR-A1	chr19	47934180	122	+	1	0,122
SNAR-A2	chr19	47918428	122	+	1	0,122
SNAR-A2	chr19	47934180	122	+	1	0,122
SNAR-A12	chr19	47907677	122	+	1	0,122
SNAR-A12	chr19	47944921	122	+	1	0,122
MINAR2	chr5	129748190	16873	+	1	0,165,12022,228,4278,180
SLCO4A1-AS1	chr20	62663026	3595	-	4	0,461,1436,574,362,151,374,237
HECW1-IT1	chr7	43117895	45292	+	1	0,680,371,249,2607,217,25428,138,1055,187,12782,106,1210,262
C8orf88	chr8	90958477	26780	-	3	0,553,1711,107,10217,76,7437,74,1710,99,4523,93,36,144
LOC100128006	chr17	12760133	30151	-	1	0,3585,26424,142
DPPA2P3	chr3	193993093	1145	-	1	0,1145
WWTR1-AS1	chr3	149658209	3153	+	2	0,499,669,942,786,257
FAM229A	chr1	32361269	974	-	3	0,266,194,147,81,286
LOC100128076	chr9	92132833	5796	+	3	0,75,1019,135,680,123,595,105,177,151,359,68,129,88,106,79,89,77,145,129,140,117,104,647,241,218
JAZF1-AS1	chr7	28180456	60921	+	2	0,83,5130,83,31490,107,23107,921
ST8SIA6-AS1	chr10	17386935	21351	+	1	0,140,12029,98,8765,319
LOC100128108	chr15	101737093	9777	-	1	0,276,7071,329,865,104,1042,90
HGC6.3	chr6	167975923	1016	-	2	0,1016
STAU2-AS1	chr8	73420073	21445	+	1	0,166,18692,173,685,1729
LINC01233	chr19	22532625	869	+	1	0,289,256,324
LOC100128164	chr3	169943983	22751	-	1	0,5274,4969,981,10770,757
UST-AS1	chr6	148954260	10424	-	1	0,1893,2824,64,5519,124
TMPO-AS1	chr12	98512972	3254	-	2	0,2925,93,236
LOC100128239	chr11	134032271	9070	+	1	0,589,4651,130,2120,1580
ZNF667-AS1	chr19	56477873	17563	+	5	0,508,15781,1274
LOC100128253	chr12	3298513	67609	-	1	0,138,666,219,444,461,140,133,131,147,2344,67,378,156,2012,112,702,105,341,267,271,71,58240,64
WASIR1	chrX	156014563	2267	-	1	0,1062,1036,169
WASIR1	chrY	57201083	2267	-	1	0,1062,1036,169
TNK2-AS1	chr3	195908075	5189	+	1	0,703,1086,3400
HTR5A-AS1	chr7	155067068	4489	-	1	0,2177,1788,524
DNM1P35	chr15	75727669	12408	-	3	0,2765,1532,186,6234,206,343,240,732,170
LOC100128288	chr17	8358412	2129	-	1	0,2129
DLG5-AS1	chr10	77926811	3014	+	2	0,3014
LOC100128310	chr20	61717505	2243	-	1	0,1881,243,119
LOC100128317	chr7	81576385	115021	-	2	0,3348,1988,183,1215,151,1024,146,2506,37,1869,123,5545,136,2999,171,9649,168,16729,71,708,75,887,103,65112,78
TRAPPC3L	chr6	116496487	49123	-	7	0,586,3407,186,39696,100,2840,98,2072,138
FAM83H-AS1	chr8	143734139	12198	+	7	0,80,1630,89,3920,90,3911,2478
LOC100128361	chr9	92618049	2485	+	2	0,2485
FAM225B	chr9	113104722	6955	-	4	0,5431,756,107,393,268
LOC100128386	chr11	100684160	3795	-	1	0,1543,1929,323
LOC100128398	chr19	58002893	4313	+	1	0,153,164,126,1046,318,1206,1300
LINC00892	chrX	136639542	2887	+	1	0,262,969,100,1229,327
C20orf78	chr20	18809350	20853	-	1	0,765,15150,83,4670,185
ASTN2-AS1	chr9	116504282	58011	+	2	0,62,36095,300,2933,169,1907,79,124,189,408,151,614,121,102,146,3304,107,1016,93,5404,44,4348,295
NEBL-AS1	chr10	21173989	934	+	1	0,118,194,72,108,442
LOC100128531	chr22	25102416	10276	-	1	0,502,7082,118,839,40,1189,237,193,76
MIR29B2CHG	chr1	207801517	21186	-	3	0,1145,3342,93,9831,152,1158,176,1547,185,3057,500
CTAGE4	chr7	144183454	2626	+	7	0,2626
CTAGE4	chr7	144266673	2626	-	7	0,2626
LINC02347	chr12	126442480	30305	+	2	0,108,377,62,1857,169,2925,83,9871,609,4176,108,2888,276,559,179,2030,350,624,154,775,155,1770,200
MYHAS	chr17	10383131	242409	+	2	0,76,22940,91,161298,76,20776,35,2219,133,7297,150,9922,79,130,262,3843,116,1170,133,8874,2789
C19orf71	chr19	3539156	4874	+	1	0,104,3974,239,81,126,148,202
SLC8A1-AS1	chr2	39917633	337576	+	4	0,26,5189,41,182019,54,146721,91,2645,790
TMSB15B-AS1	chrX	103881746	37802	-	2	0,369,35295,815,183,52,371,249,344,124
CDC42P3	chr8	142995827	1836	+	1	0,1836
HPN-AS1	chr19	35059058	47246	-	2	0,720,13022,3376,3360,117,7302,145,12104,183,6841,76
LINC01531	chr19	35405606	11234	+	1	0,75,903,2567,134,187,1689,121,5196,362
LINC02346	chr15	25902359	150761	+	3	0,207,112767,688,33103,118,2785,200,139,754
OST4	chr2	27070473	1226	-	7	0,248,604,138,137,99
RBPMS-AS1	chr8	30382118	3283	-	1	0,497,928,154,1446,258
LINC00476	chr9	95806087	69890	-	3	0,7835,36304,66,19991,158,4067,114,357,998
SRRM2-AS1	chr16	2737075	15525	-	1	0,213,191,131,758,132,2457,384,2210,168,735,343,4747,115,2782,159
GPR158-AS1	chr10	25158071	18205	-	1	0,1832,15772,601
LINC01003	chr7	152464123	1423	+	2	0,1423
VPS9D1-AS1	chr16	89711855	6310	+	5	0,367,466,130,3652,434,439,822
LOC100128885	chr7	64574694	43895	+	1	0,154,24810,124,14716,4091
FAM66B	chr8	7298743	56620	-	1	0,3428,21597,65,463,68,457,68,247,62,23884,64,5664,553
GATA6-AS1	chr18	22166897	2071	-	6	0,1486,283,302
LINC01960	chr2	174025279	1878	+	1	0,1878
LMLN2	chr14	23099117	5862	-	2	0,372,1012,180,168,230,212,273,104,97,76,70,180,175,77,146,139,85,212,126,235,96,88,78,126,144,424,52,90,85,129,381
ZBTB42	chr14	104801180	3531	+	10	0,3531
LINC01310	chr22	48866769	31617	+	2	0,78,18205,60,1900,200,5453,467,1271,212,119,1409,654,1589
LOC100128966	chr5	138332104	5042	+	1	0,81,1247,96,1856,101,1388,273
MAPT-AS1	chr17	45843355	52158	-	6	0,806,51318,34
LOC100128988	chr20	40980712	44684	+	1	0,209,24977,149,13062,86,4573,1628
LOC100128993	chr8	19183675	61847	-	3	0,353,544,90,42505,64,8232,129,9555,375
LOC100129027	chr21	45827840	8579	-	1	0,3401,1366,51,3627,134
LOC100129034	chr9	124353472	5712	+	2	0,5712
LOC100129055	chr10	38175670	38675	+	1	0,290,1940,75,17632,36,1856,52,1740,120,11239,163,1493,2039
SEMA3F-AS1	chr3	50116021	40064	-	1	0,2227,4276,64,13868,112,19165,352
UNQ6494	chr9	89639782	79977	+	3	0,197,24948,455,7374,731,24545,167,3718,71,17198,573
KTN1-AS1	chr14	55576156	3936	-	2	0,1223,1226,132,1198,157
LOC100129083	chr19	51415723	2473	+	2	0,409,390,208,401,1065
BTNL10	chr1	228510358	1930	-	1	0,320,972,354,178,106
KHDC1L	chr6	73223544	1908	-	2	0,295,326,183,948,156
LOC100129138	chr1	104073022	4049	+	1	0,882,2840,327
LOC100129148	chr7	139417462	10064	-	1	0,233,5589,101,4015,126
LOC100129175	chr2	219002214	13508	+	1	0,86,7656,86,3859,1821
ZSCAN16-AS1	chr6	28121794	15522	-	1	0,1417,2411,197,10925,572
MATN1-AS1	chr1	30718771	7975	+	1	0,794,1722,435,4012,317,191,504
LOC100129203	chr11	95230185	4219	+	1	0,310,629,449,478,125,413,85,205,40,534,951
SLC39A12-AS1	chr10	18001785	8777	-	1	0,1611,914,98,4141,134,981,89,775,34
DEFB131B	chr11	71878452	6109	+	2	0,58,5896,155
SMIM27	chr9	32551143	15717	+	2	0,550,23,91,426,246,321,217,12379,232,762,470
LINC01160	chr1	111599006	9312	-	1	0,1089,2096,64,2113,132,128,74,3433,183
C1orf68	chr1	152719521	908	+	14	0,908
TDRD15	chr2	21123985	20381	+	3	0,61,3554,111,7050,86,2617,6902
LOC100129291	chrX	71662990	3878	-	1	0,178,106,42,545,46,285,77,540,157,586,1316
CD200R1L-AS1	chr3	112802477	17739	+	1	0,171,417,96,9598,60,1843,65,5030,459
LOC100129307	chr13	77661373	1430	-	1	0,1430
LINC02291	chr14	97632646	54012	-	1	0,1045,12470,211,26956,114,12916,300
LINC00484	chr9	91119061	63701	+	2	0,25,141,135,63106,294
NRADDP	chr3	47011541	1926	+	4	0,43,736,191,111,143,67,635
SMIM10L1	chr12	11171180	4840	+	1	0,4840
C9orf92	chr9	16203934	72379	-	3	0,104,11177,64,492,128,37140,68,23123,83
GABPB1-AS1	chr15	50354173	4133	+	4	0,4133
FAM106CP	chr17	16788742	1759	+	3	0,1759
MSTO2P	chr1	155610187	4638	+	5	0,145,92,136,478,70,107,140,193,55,85,139,155,118,81,135,527,131,74,185,228,105,90,110,295,764
MSTO2P	chr1	155745767	4921	+	5	0,145,92,136,478,70,107,140,193,55,85,139,155,118,81,135,503,132,74,183,538,105,90,110,294,763
RPL19P12	chr7	103141269	1134	-	1	0,1134
DDC-AS1	chr7	50531758	11705	+	2	0,124,7231,54,663,315,1200,64,835,1219
LOC100129434	chr2	56173533	12237	-	2	0,2617,1412,173,7962,73
LYRM4-AS1	chr6	5003815	236681	+	2	0,144,17421,93,8498,224,12310,1084,29009,136,164973,2789
MKRN2OS	chr3	12539780	5684	-	2	0,653,1426,163,1157,50,2017,218
ZNF37BP	chr10	42513510	39360	-	7	0,7617,2054,124,306,127,26818,59,957,242,175,291,107,155,231,97
LINC02012	chr3	197505261	4400	-	1	0,4400
SOD2-OT1	chr6	159760258	2074	-	2	0,1378,357,339
LOC100129534	chr1	2350414	2247	-	1	0,2247
