"ID"	"Gene"	"chr"	"start"	"end"	"strand"	"band"	"type"
"ENSG00000201758"	"RN7SKP55"	"1"	244943910	244944216	1	"q44"	"misc_RNA"
"ENSG00000202257"	"RNA5S16"	"1"	228643809	228643927	-1	"q42.13"	"rRNA"
"ENSG00000200495"	"RNU6-1205P"	"1"	248912690	248912795	-1	"q44"	"snRNA"
"ENSG00000199672"	"RNU4-21P"	"1"	229535064	229535189	-1	"q42.13"	"snRNA"
"ENSG00000221216"	"RNU6ATAC27P"	"1"	28481362	28481480	1	"p35.3"	"snRNA"
"ENSG00000264294"	"SNORD55"	"1"	44775864	44775943	1	"p34.1"	"snoRNA"
"ENSG00000207082"	"RNU6-171P"	"1"	164639565	164639671	1	"q23.3"	"snRNA"
"ENSG00000199910"	"RNA5S10"	"1"	228630390	228630508	-1	"q42.13"	"rRNA"
"ENSG00000199334"	"RNA5S11"	"1"	228632631	228632749	-1	"q42.13"	"rRNA"
"ENSG00000207194"	"RNU6-1026P"	"1"	50582404	50582511	1	"p32.3"	"snRNA"
"ENSG00000252121"	"RNU6-970P"	"1"	92969604	92969710	-1	"p22.1"	"snRNA"
"ENSG00000265141"	"RN7SL451P"	"1"	8979576	8979874	-1	"p36.23"	"misc_RNA"
"ENSG00000243267"	"RN7SL614P"	"1"	10616836	10617115	1	"p36.22"	"misc_RNA"
"ENSG00000274266"	"SNORA73A"	"1"	28507366	28507571	1	"p35.3"	"snoRNA"
"ENSG00000200360"	"RNU6-792P"	"1"	111490317	111490423	-1	"p13.2"	"snRNA"
"ENSG00000253074"	"RNU6-586P"	"1"	67196140	67196243	1	"p31.3"	"snRNA"
"ENSG00000199318"	"RNA5SP52"	"1"	87453240	87453373	-1	"p22.3"	"rRNA_pseudogene"
"ENSG00000222282"	"RNU6-584P"	"1"	37885023	37885117	1	"p34.3"	"snRNA"
"ENSG00000206791"	"RNU1-129P"	"1"	148014417	148014583	-1	"q21.2"	"snRNA"
"ENSG00000201801"	"RNU5E-4P"	"1"	11909808	11909927	-1	"p36.22"	"snRNA"
"ENSG00000199666"	"SNORD3G"	"1"	90657750	90657964	1	"p22.2"	"snoRNA"
"ENSG00000252501"	"RNU4-77P"	"1"	233448626	233448781	-1	"q42.2"	"snRNA"
"ENSG00000238482"	"RNU6-1208P"	"1"	24777873	24777979	-1	"p36.11"	"snRNA"
"ENSG00000200972"	"RNU5A-8P"	"1"	210374154	210374267	-1	"q32.2"	"snRNA"
"ENSG00000252977"	"RNA5SP70"	"1"	181771566	181771644	1	"q25.3"	"rRNA_pseudogene"
"ENSG00000200169"	"RNU5D-1"	"1"	44731055	44731170	-1	"p34.1"	"snRNA"
"ENSG00000201493"	"RNU1-141P"	"1"	218129795	218129952	1	"q41"	"snRNA"
"ENSG00000283876"	"MIR4260"	"1"	209623444	209623510	-1	"q32.2"	"miRNA"
"ENSG00000283899"	"MIR761"	"1"	51836344	51836402	-1	"p32.3"	"miRNA"
"ENSG00000200175"	"RNU6-1309P"	"1"	150812591	150812698	-1	"q21.3"	"snRNA"
"ENSG00000223062"	"RNU6-1245P"	"1"	27824538	27824643	1	"p35.3"	"snRNA"
"ENSG00000206887"	"RNU6-1008P"	"1"	224305380	224305483	1	"q42.11"	"snRNA"
"ENSG00000202521"	"RNA5S7"	"1"	228623667	228623785	-1	"q42.13"	"rRNA"
"ENSG00000239984"	"RN7SL420P"	"1"	115606471	115606768	1	"p13.1"	"misc_RNA"
"ENSG00000252407"	"RNU7-183P"	"1"	185434244	185434305	1	"q25.3"	"snRNA"
"ENSG00000252956"	"RNA5SP40"	"1"	9437669	9437778	-1	"p36.22"	"rRNA_pseudogene"
"ENSG00000206637"	"SNORA70H"	"1"	201978461	201978595	1	"q32.1"	"snoRNA"
"ENSG00000253086"	"RNU6-537P"	"1"	11152350	11152452	1	"p36.22"	"snRNA"
"ENSG00000251914"	"RNU7-200P"	"1"	20841241	20841302	1	"p36.12"	"snRNA"
"ENSG00000207434"	"RNU6-1072P"	"1"	12922554	12922660	1	"p36.21"	"snRNA"
"ENSG00000222623"	"RNU6-1100P"	"1"	157784	157887	-1	"p36.33"	"snRNA"
"ENSG00000222399"	"RNU6-791P"	"1"	222503632	222503735	-1	"q41"	"snRNA"
"ENSG00000200800"	"RNU1-130P"	"1"	96225901	96226060	1	"p21.3"	"snRNA"
"ENSG00000222854"	"RNA5SP59"	"1"	144701050	144701159	-1	"q21.1"	"rRNA_pseudogene"
"ENSG00000243437"	"RN7SL370P"	"1"	77645324	77645618	1	"p31.1"	"misc_RNA"
"ENSG00000252879"	"RN7SKP98"	"1"	212099521	212099676	-1	"q32.3"	"misc_RNA"
"ENSG00000221340"	"RNU6ATAC18P"	"1"	12569972	12570072	-1	"p36.21"	"snRNA"
"ENSG00000239504"	"RN7SL583P"	"1"	88477828	88478114	-1	"p22.2"	"misc_RNA"
"ENSG00000201148"	"RNA5SP42"	"1"	34112949	34113063	1	"p35.1"	"rRNA_pseudogene"
"ENSG00000200839"	"RNA5SP48"	"1"	51973410	51973535	1	"p32.3"	"rRNA_pseudogene"
"ENSG00000222378"	"RNA5SP44"	"1"	39154164	39154296	-1	"p34.3"	"rRNA_pseudogene"
"ENSG00000272262"	"RNU6-89P"	"1"	202410108	202410207	-1	"q32.1"	"snRNA"
"ENSG00000201032"	"RNU6-704P"	"1"	200933345	200933447	-1	"q32.1"	"snRNA"
"ENSG00000252650"	"RNA5SP75"	"1"	204707320	204707430	-1	"q32.1"	"rRNA_pseudogene"
"ENSG00000274582"	"SNORA16A"	"1"	28580920	28581056	-1	"p35.3"	"snoRNA"
"ENSG00000266580"	"MIR4254"	"1"	31758660	31758735	-1	"p35.2"	"miRNA"
"ENSG00000278281"	"MIR7856"	"1"	86357632	86357687	-1	"p22.3"	"miRNA"
"ENSG00000284005"	"MIR6084"	"1"	20633679	20633788	1	"p36.12"	"miRNA"
"ENSG00000207511"	"RNU6-771P"	"1"	13279125	13279231	-1	"p36.21"	"snRNA"
"ENSG00000208024"	"MIR199A2"	"1"	172144535	172144644	-1	"q24.3"	"miRNA"
"ENSG00000207975"	"MIR181B1"	"1"	198858873	198858982	-1	"q32.1"	"miRNA"
"ENSG00000201588"	"RNA5S2"	"1"	228612509	228612627	-1	"q42.13"	"rRNA"
"ENSG00000206935"	"RNU6-514P"	"1"	23162704	23162810	1	"p36.12"	"snRNA"
"ENSG00000284154"	"MIR3605"	"1"	33332393	33332492	-1	"p35.1"	"miRNA"
"ENSG00000265435"	"MIR3121"	"1"	180438314	180438390	-1	"q25.3"	"miRNA"
"ENSG00000222407"	"RNA5SP80"	"1"	231281414	231281524	-1	"q42.2"	"rRNA_pseudogene"
"ENSG00000263675"	"MIR5581"	"1"	37500935	37500994	-1	"p34.3"	"miRNA"
"ENSG00000284202"	"MIR137"	"1"	98046070	98046171	-1	"p21.3"	"miRNA"
"ENSG00000222831"	"MIR1537"	"1"	235853000	235853060	-1	"q42.3"	"miRNA"
"ENSG00000244066"	"RN7SL148P"	"1"	244103932	244104210	1	"q44"	"misc_RNA"
"ENSG00000207508"	"RNU6-1237P"	"1"	40177843	40177949	1	"p34.2"	"snRNA"
"ENSG00000200254"	"RNU6-536P"	"1"	42569033	42569139	1	"p34.2"	"snRNA"
"ENSG00000201448"	"SNORA63C"	"1"	36418450	36418578	-1	"p34.3"	"snoRNA"
"ENSG00000252135"	"RNVU1-2"	"1"	148385829	148385963	-1	"q21.2"	"snRNA"
"ENSG00000206620"	"SNORD45C"	"1"	75787072	75787150	1	"p31.1"	"snoRNA"
"ENSG00000222069"	"RN7SKP285"	"1"	103523562	103523879	1	"p21.1"	"misc_RNA"
"ENSG00000242794"	"RN7SL299P"	"1"	232222866	232223145	1	"q42.2"	"misc_RNA"
"ENSG00000200913"	"SNORD46"	"1"	44776490	44776593	1	"p34.1"	"snoRNA"
"ENSG00000200381"	"RNA5S4"	"1"	228616991	228617109	-1	"q42.13"	"rRNA"
"ENSG00000222986"	"RNU5A-5P"	"1"	231670635	231670750	1	"q42.2"	"snRNA"
"ENSG00000244389"	"RN7SL242P"	"1"	70180144	70180440	-1	"p31.1"	"misc_RNA"
"ENSG00000251825"	"RN7SKP19"	"1"	73191604	73191855	-1	"p31.1"	"misc_RNA"
"ENSG00000207340"	"RNVU1-1"	"1"	148362370	148362533	-1	"q21.2"	"snRNA"
"ENSG00000251977"	"RNU6-991P"	"1"	8292157	8292263	-1	"p36.23"	"snRNA"
"ENSG00000277610"	"RNVU1-4"	"1"	120942600	120942763	1	"p11.2"	"snRNA"
"ENSG00000199135"	"MIR101-1"	"1"	65058434	65058508	-1	"p31.3"	"miRNA"
"ENSG00000211543"	"MIR320B1"	"1"	116671749	116671827	1	"p13.1"	"miRNA"
"ENSG00000264916"	"RN7SL230P"	"1"	179900262	179900564	1	"q25.2"	"misc_RNA"
"ENSG00000207451"	"RNU6-291P"	"1"	11226254	11226360	1	"p36.22"	"snRNA"
"ENSG00000283572"	"MIR4251"	"1"	3127975	3128035	1	"p36.32"	"miRNA"
"ENSG00000238765"	"RNA5SP57"	"1"	148193716	148193838	1	"q21.2"	"rRNA_pseudogene"
"ENSG00000200033"	"RNU6-403P"	"1"	221837334	221837437	-1	"q41"	"snRNA"
"ENSG00000251789"	"RNU4-57P"	"1"	223373822	223373956	1	"q41"	"snRNA"
"ENSG00000201919"	"RNU6-1022P"	"1"	21987816	21987919	1	"p36.12"	"snRNA"
"ENSG00000275207"	"MIR6740"	"1"	202003124	202003236	1	"q32.1"	"miRNA"
"ENSG00000278465"	"MIR6769B"	"1"	206474803	206474864	1	"q32.1"	"miRNA"
"ENSG00000223306"	"RNU6-1304P"	"1"	225741275	225741380	1	"q42.12"	"snRNA"
"ENSG00000222209"	"RNA5SP56"	"1"	118264372	118264489	-1	"p12"	"rRNA_pseudogene"
"ENSG00000252259"	"RNA5SP49"	"1"	63186336	63186450	-1	"p31.3"	"rRNA_pseudogene"
"ENSG00000212398"	"RNU6-1248P"	"1"	223690051	223690114	1	"q41"	"snRNA"
"ENSG00000252338"	"RNU6-503P"	"1"	75538015	75538119	-1	"p31.1"	"snRNA"
"ENSG00000278073"	"MIR6726"	"1"	1296110	1296170	-1	"p36.33"	"miRNA"
"ENSG00000241188"	"RN7SL165P"	"1"	26814822	26815112	1	"p36.11"	"misc_RNA"
"ENSG00000200139"	"RNU6-778P"	"1"	199888159	199888261	1	"q32.1"	"snRNA"
"ENSG00000264271"	"RN7SL488P"	"1"	63529613	63529898	-1	"p31.3"	"misc_RNA"
"ENSG00000212385"	"RNU6-817P"	"1"	116413766	116413869	-1	"p13.1"	"snRNA"
"ENSG00000206762"	"RNU6-418P"	"1"	205595041	205595147	1	"q32.1"	"snRNA"
"ENSG00000253025"	"RNU2-12P"	"1"	176243862	176244029	-1	"q25.2"	"snRNA"
"ENSG00000266150"	"MIR4711"	"1"	59733227	59733296	-1	"p32.1"	"miRNA"
"ENSG00000202408"	"RNU1-122P"	"1"	148334612	148334767	-1	"q21.2"	"snRNA"
"ENSG00000264720"	"MIR3117"	"1"	66628440	66628517	1	"p31.3"	"miRNA"
"ENSG00000215930"	"MIR942"	"1"	117094643	117094728	1	"p13.1"	"miRNA"
"ENSG00000265831"	"MIR3123"	"1"	241132272	241132346	1	"q43"	"miRNA"
"ENSG00000238365"	"RNU7-57P"	"1"	154338743	154338802	1	"q21.3"	"snRNA"
"ENSG00000212360"	"RNU6-1177P"	"1"	61852499	61852602	1	"p31.3"	"snRNA"
"ENSG00000221539"	"SNORD99"	"1"	28578749	28578822	-1	"p35.3"	"snoRNA"
"ENSG00000243872"	"RN7SL464P"	"1"	220571739	220572035	-1	"q41"	"misc_RNA"
"ENSG00000252826"	"RNU1-92P"	"1"	143720510	143720644	-1	"q21.1"	"snRNA"
"ENSG00000201638"	"RNY4P16"	"1"	234837976	234838069	1	"q42.3"	"misc_RNA"
"ENSG00000201457"	"SNORA55"	"1"	39567374	39567508	-1	"p34.3"	"snoRNA"
"ENSG00000243173"	"RN7SL861P"	"1"	162777730	162778014	1	"q23.3"	"misc_RNA"
"ENSG00000244568"	"RN7SL654P"	"1"	184335658	184335949	1	"q25.3"	"misc_RNA"
"ENSG00000278249"	"SCARNA2"	"1"	109100193	109100612	1	"p13.3"	"scaRNA"
"ENSG00000199240"	"RNA5SP46"	"1"	43196417	43196536	1	"p34.2"	"rRNA_pseudogene"
"ENSG00000266160"	"RN7SL612P"	"1"	156985755	156986049	-1	"q23.1"	"misc_RNA"
"ENSG00000207501"	"RNVU1-14"	"1"	145281116	145281279	1	"q21.1"	"snRNA"
"ENSG00000283938"	"MIR3917"	"1"	25906362	25906454	-1	"p36.11"	"miRNA"
"ENSG00000201317"	"RNU4-59P"	"1"	92700819	92700934	-1	"p22.1"	"snRNA"
"ENSG00000276442"	"RNA5SP529"	"1"	144265217	144265326	1	"q21.1"	"rRNA"
"ENSG00000241745"	"RN7SL788P"	"1"	52150104	52150419	1	"p32.3"	"misc_RNA"
"ENSG00000211575"	"MIR760"	"1"	93846832	93846911	1	"p22.1"	"miRNA"
"ENSG00000206888"	"RNU6-48P"	"1"	27325219	27325325	1	"p36.11"	"snRNA"
"ENSG00000207624"	"MIR194-1"	"1"	220118157	220118241	-1	"q41"	"miRNA"
"ENSG00000238711"	"RNY4P25"	"1"	151439000	151439095	1	"q21.3"	"misc_RNA"
"ENSG00000201620"	"RNA5SP51"	"1"	85883680	85883798	-1	"p22.3"	"rRNA_pseudogene"
"ENSG00000223026"	"RN7SKP247"	"1"	81251789	81252096	1	"p31.1"	"misc_RNA"
"ENSG00000202056"	"RNA5SP19"	"1"	228555793	228555901	1	"q42.13"	"rRNA_pseudogene"
"ENSG00000252578"	"RNU6-135P"	"1"	23163953	23164053	1	"p36.12"	"snRNA"
"ENSG00000252552"	"RNU6-307P"	"1"	174996524	174996629	1	"q25.1"	"snRNA"
"ENSG00000242688"	"RN7SL304P"	"1"	19970969	19971269	1	"p36.13"	"misc_RNA"
"ENSG00000252073"	"RNU6-947P"	"1"	244954858	244954963	1	"q44"	"snRNA"
"ENSG00000252515"	"RNU6-1171P"	"1"	148739379	148739479	1	"q21.2"	"snRNA"
"ENSG00000199963"	"RNU6-605P"	"1"	38926870	38926977	1	"p34.3"	"snRNA"
"ENSG00000206652"	"RNU1-1"	"1"	16514122	16514285	-1	"p36.13"	"snRNA"
"ENSG00000222112"	"RN7SKP16"	"1"	33336566	33336864	-1	"p35.1"	"misc_RNA"
"ENSG00000283712"	"MIR6727"	"1"	1312502	1312566	-1	"p36.33"	"miRNA"
"ENSG00000283749"	"MIR4781"	"1"	54054079	54054154	1	"p32.3"	"miRNA"
"ENSG00000283701"	"MIR555"	"1"	155346350	155346445	-1	"q22"	"miRNA"
"ENSG00000283936"	"MIR3658"	"1"	165907921	165907976	1	"q24.1"	"miRNA"
"ENSG00000283844"	"MIR214"	"1"	172138798	172138907	-1	"q24.3"	"miRNA"
"ENSG00000242482"	"RN7SL392P"	"1"	67656831	67657129	-1	"p31.3"	"misc_RNA"
"ENSG00000284311"	"MIR6742"	"1"	228397048	228397109	-1	"q42.13"	"miRNA"
"ENSG00000252906"	"SCARNA3"	"1"	175968398	175968540	-1	"q25.1"	"scaRNA"
"ENSG00000252510"	"RNA5SP55"	"1"	116962347	116962471	-1	"p13.1"	"rRNA_pseudogene"
"ENSG00000266075"	"RN7SL574P"	"1"	3782815	3783111	1	"p36.32"	"misc_RNA"
"ENSG00000207328"	"RNU6-636P"	"1"	37203610	37203716	1	"p34.3"	"snRNA"
"ENSG00000242860"	"RN7SL180P"	"1"	62072448	62072741	1	"p31.3"	"misc_RNA"
"ENSG00000252830"	"RNA5SP533"	"1"	143439605	143439714	1	"q21.1"	"rRNA"
"ENSG00000207005"	"RNU1-2"	"1"	16895980	16896143	1	"p36.13"	"snRNA"
"ENSG00000241347"	"RN7SL466P"	"1"	161735808	161736102	1	"q23.3"	"misc_RNA"
"ENSG00000199879"	"RNU1-120P"	"1"	148263476	148263632	1	"q21.2"	"snRNA"
"ENSG00000264470"	"MIR4794"	"1"	64579847	64579923	1	"p31.3"	"miRNA"
"ENSG00000265996"	"MIR3671"	"1"	65057755	65057842	-1	"p31.3"	"miRNA"
"ENSG00000266564"	"MIR4418"	"1"	22266239	22266300	1	"p36.12"	"miRNA"
"ENSG00000206803"	"RNU6-968P"	"1"	235915415	235915521	1	"q42.3"	"snRNA"
"ENSG00000263526"	"MIR378G"	"1"	94745860	94745900	-1	"p21.3"	"miRNA"
"ENSG00000239690"	"RN7SL668P"	"1"	234904186	234904488	1	"q42.3"	"misc_RNA"
"ENSG00000252717"	"RNU6-352P"	"1"	101859851	101859957	1	"p21.1"	"snRNA"
"ENSG00000223282"	"RN7SKP165"	"1"	226445937	226446292	1	"q42.12"	"misc_RNA"
"ENSG00000207134"	"RNU6-106P"	"1"	155358712	155358818	-1	"q22"	"snRNA"
"ENSG00000252413"	"RNU7-121P"	"1"	39723566	39723627	-1	"p34.2"	"snRNA"
"ENSG00000243051"	"RN7SL269P"	"1"	169957942	169958246	-1	"q24.2"	"misc_RNA"
"ENSG00000265392"	"MIR4252"	"1"	6429834	6429896	-1	"p36.31"	"miRNA"
"ENSG00000264128"	"RN7SL713P"	"1"	58565631	58565932	-1	"p32.1"	"misc_RNA"
"ENSG00000265744"	"MIR4427"	"1"	233624152	233624219	1	"q42.2"	"miRNA"
"ENSG00000199396"	"RNA5S5"	"1"	228619232	228619350	-1	"q42.13"	"rRNA"
"ENSG00000212248"	"RNU6-750P"	"1"	99978939	99979045	1	"p21.2"	"snRNA"
"ENSG00000252797"	"RN7SKP272"	"1"	89987713	89987944	-1	"p22.2"	"misc_RNA"
"ENSG00000278274"	"SNORA61"	"1"	28579764	28579893	-1	"p35.3"	"snoRNA"
"ENSG00000200942"	"RNU6-501P"	"1"	201733406	201733505	1	"q32.1"	"snRNA"
"ENSG00000200408"	"RNA5SP74"	"1"	204562413	204562521	-1	"q32.1"	"rRNA_pseudogene"
"ENSG00000199352"	"RNA5S1"	"1"	228610268	228610386	-1	"q42.13"	"rRNA"
"ENSG00000200796"	"RNU6-753P"	"1"	38396659	38396765	1	"p34.3"	"snRNA"
"ENSG00000207776"	"MIR551A"	"1"	3560695	3560790	-1	"p36.32"	"miRNA"
"ENSG00000251767"	"RNU7-8P"	"1"	77420325	77420386	1	"p31.1"	"snRNA"
"ENSG00000278267"	"MIR6859-1"	"1"	17369	17436	-1	"p36.33"	"miRNA"
"ENSG00000264419"	"MIR548AC"	"1"	116560024	116560111	-1	"p13.1"	"miRNA"
"ENSG00000207759"	"MIR181A1"	"1"	198859044	198859153	-1	"q32.1"	"miRNA"
"ENSG00000252368"	"RNA5SP43"	"1"	37264677	37264786	-1	"p34.3"	"rRNA_pseudogene"
"ENSG00000207523"	"SNORA66"	"1"	92840719	92840851	1	"p22.1"	"snoRNA"
"ENSG00000207504"	"RNU6-1031P"	"1"	67541127	67541233	1	"p31.3"	"snRNA"
"ENSG00000253005"	"RNU6-176P"	"1"	28142737	28142841	-1	"p35.3"	"snRNA"
"ENSG00000222397"	"RN7SKP229"	"1"	181839473	181839774	-1	"q25.3"	"misc_RNA"
"ENSG00000202300"	"RNU6-487P"	"1"	203318996	203319099	-1	"q32.1"	"snRNA"
"ENSG00000206595"	"RNU6-877P"	"1"	51382308	51382414	1	"p32.3"	"snRNA"
"ENSG00000222552"	"RNA5SP60"	"1"	159178473	159178559	1	"q23.2"	"rRNA_pseudogene"
"ENSG00000202444"	"RNU5E-6P"	"1"	44819883	44819997	-1	"p34.1"	"snRNA"
"ENSG00000277344"	"RNU1-6P"	"1"	16534081	16534224	-1	"p36.13"	"snRNA"
"ENSG00000264384"	"RN7SL431P"	"1"	154166245	154166549	-1	"q21.3"	"misc_RNA"
"ENSG00000242565"	"RN7SL372P"	"1"	153704088	153704385	1	"q21.3"	"misc_RNA"
"ENSG00000278124"	"RN7SL186P"	"1"	22010650	22010946	1	"p36.12"	"misc_RNA"
"ENSG00000207962"	"MIR30C1"	"1"	40757284	40757372	1	"p34.2"	"miRNA"
"ENSG00000215938"	"MIR190B"	"1"	154193665	154193743	-1	"q21.3"	"miRNA"
"ENSG00000207974"	"MIR557"	"1"	168375524	168375621	1	"q24.2"	"miRNA"
"ENSG00000284203"	"MIR29B2"	"1"	207802443	207802523	-1	"q32.2"	"miRNA"
"ENSG00000281859"	"SNORD38B"	"1"	44778390	44778458	1	"p34.1"	"snoRNA"
"ENSG00000202063"	"RNA5SP79"	"1"	230820250	230820358	1	"q42.2"	"rRNA_pseudogene"
"ENSG00000263811"	"MIR3675"	"1"	16858949	16859021	-1	"p36.13"	"miRNA"
"ENSG00000283933"	"MIR6878"	"1"	150492345	150492410	1	"q21.2"	"miRNA"
"ENSG00000200601"	"RNA5SP50"	"1"	73749517	73749623	-1	"p31.1"	"rRNA_pseudogene"
"ENSG00000207349"	"RNVU1-17"	"1"	143699456	143699619	-1	"q21.1"	"snRNA"
"ENSG00000252162"	"RNU6-830P"	"1"	55398514	55398620	1	"p32.3"	"snRNA"
"ENSG00000242769"	"RN7SL432P"	"1"	114697627	114697924	-1	"p13.2"	"misc_RNA"
"ENSG00000207241"	"SNORD45A"	"1"	75787889	75787972	1	"p31.1"	"snoRNA"
"ENSG00000239007"	"RNU7-95P"	"1"	53688749	53688812	-1	"p32.3"	"snRNA"
"ENSG00000239640"	"RN7SL62P"	"1"	52714399	52714695	1	"p32.3"	"misc_RNA"
"ENSG00000200624"	"RNA5S6"	"1"	228621447	228621565	-1	"q42.13"	"rRNA"
"ENSG00000253097"	"RNU2-19P"	"1"	205566716	205566799	1	"q32.1"	"snRNA"
"ENSG00000207256"	"RNU6-880P"	"1"	42991438	42991544	1	"p34.2"	"snRNA"
"ENSG00000206880"	"RNU6-1310P"	"1"	168263375	168263481	-1	"q24.2"	"snRNA"
"ENSG00000274059"	"RNA5SP534"	"1"	207708898	207708981	-1	"q32.2"	"rRNA"
"ENSG00000207237"	"RNU6-110P"	"1"	25964197	25964300	1	"p36.11"	"snRNA"
"ENSG00000202025"	"RNU6-1240P"	"1"	186311825	186311928	-1	"q31.1"	"snRNA"
"ENSG00000212157"	"RNU6-1319P"	"1"	223976146	223976249	-1	"q42.11"	"snRNA"
"ENSG00000202264"	"RNA5SP77"	"1"	227561181	227561300	1	"q42.13"	"rRNA_pseudogene"
"ENSG00000251813"	"RNU6-983P"	"1"	194488103	194488205	-1	"q31.3"	"snRNA"
"ENSG00000222664"	"RN7SKP123"	"1"	93026252	93026542	1	"p22.1"	"misc_RNA"
"ENSG00000242764"	"RN7SL824P"	"1"	92402389	92402685	-1	"p22.1"	"misc_RNA"
"ENSG00000222849"	"RNA5SP21"	"1"	77779904	77779999	1	"p31.1"	"rRNA_pseudogene"
"ENSG00000252860"	"RNU6-570P"	"1"	200054061	200054165	1	"q32.1"	"snRNA"
"ENSG00000277762"	"RN7SL261P"	"1"	147689256	147689537	1	"q21.2"	"misc_RNA"
"ENSG00000199377"	"RNU5F-1"	"1"	44721786	44721902	-1	"p34.1"	"snRNA"
"ENSG00000266187"	"RN7SL480P"	"1"	150211632	150211925	1	"q21.2"	"misc_RNA"
"ENSG00000207234"	"RNU6-125P"	"1"	88816779	88816885	1	"p22.2"	"snRNA"
"ENSG00000207472"	"RNU6-41P"	"1"	182982212	182982318	-1	"q25.3"	"snRNA"
"ENSG00000264371"	"MIR4425"	"1"	25023503	25023586	1	"p36.11"	"miRNA"
"ENSG00000264501"	"RN7SL731P"	"1"	10306465	10306757	1	"p36.22"	"misc_RNA"
"ENSG00000252656"	"RN7SKP88"	"1"	148839483	148839732	-1	"q21.2"	"misc_RNA"
"ENSG00000202259"	"RNU6-1318P"	"1"	100000637	100000739	-1	"p21.2"	"snRNA"
"ENSG00000222240"	"RN7SKP156"	"1"	188155839	188156180	-1	"q31.1"	"misc_RNA"
"ENSG00000221643"	"SNORA77"	"1"	203729581	203729705	1	"q32.1"	"snoRNA"
"ENSG00000206832"	"RNU6V"	"1"	109591534	109591640	-1	"p13.3"	"snRNA"
"ENSG00000206737"	"RNVU1-18"	"1"	143729407	143729570	-1	"q21.1"	"snRNA"
"ENSG00000198976"	"MIR429"	"1"	1169005	1169087	1	"p36.33"	"miRNA"
"ENSG00000207941"	"MIR552"	"1"	34669599	34669694	-1	"p34.3"	"miRNA"
"ENSG00000284410"	"MIR6733"	"1"	43171652	43171712	-1	"p34.2"	"miRNA"
"ENSG00000275455"	"MIR7852"	"1"	107897223	107897304	1	"p13.3"	"miRNA"
"ENSG00000281696"	"MIR664A"	"1"	220200538	220200619	-1	"q41"	"miRNA"
"ENSG00000223181"	"RNU6-1199P"	"1"	758233	758336	-1	"p36.33"	"snRNA"
"ENSG00000252429"	"RNU7-29P"	"1"	26602369	26602432	-1	"p36.11"	"snRNA"
"ENSG00000207181"	"SNORA14B"	"1"	235127803	235127937	-1	"q42.3"	"snoRNA"
"ENSG00000199385"	"RNU6-369P"	"1"	44390722	44390823	1	"p34.1"	"snRNA"
"ENSG00000252396"	"RN7SKP195"	"1"	237120807	237121109	1	"q43"	"misc_RNA"
"ENSG00000263841"	"RN7SL44P"	"1"	153500463	153500764	-1	"q21.3"	"misc_RNA"
"ENSG00000200036"	"RNA5SP65"	"1"	167005959	167006077	1	"q24.1"	"rRNA_pseudogene"
"ENSG00000199337"	"RNA5S3"	"1"	228614750	228614868	-1	"q42.13"	"rRNA"
"ENSG00000200220"	"RNU6-179P"	"1"	154039916	154040022	-1	"q21.3"	"snRNA"
